Project,hole_id,depth_from,depth_to,ModelStratigraphy
RPD,RPD86,184.8,195,LMZ
RPD,RPD86,195,202,RAT
RPD,RPD87,0,23.8,LATERITE
RPD,RPD87,23.8,56.1,RAT
RPD,RPD87,56.1,85.7,BRECCIA
RPD,RPD87,85.7,93.1,MV
RPD,RPD87,93.1,95,RSF/DSTRAT
RPD,RPD87,95,99.05,RSF/DSTRAT
RPD,RPD87,99.05,99.2,RSC
RPD,RPD87,99.2,102.8,SD
RPD,RPD87,102.8,104.1,
RPD,RPD87,104.1,109,SD
RPD,RPD87,109,113.9,
RPD,RPD87,113.9,117.1,SD
RPD,RPD87,117.1,137,
RPD,RPD87,137,146.7,SD
RPD,RPD87,146.7,184.9,
RPD,RPD87,184.9,200,SD
RSP,RSP01,0,14.5,LATERITE
RSP,RSP01,14.5,44.4,CMN
RSP,RSP01,44.4,74.4,BOMZ
RSP,RSP01,74.4,80.4,CMN
RSP,RSP01,80.4,101.1,SD
RSP,RSP01,101.1,111.8,SD
RSP,RSP01,111.8,128.7,RSC
RSP,RSP01,128.7,134.8,RSF/DSTRAT
RSP,RSP01,134.8,141.9,RSF/DSTRAT
RSP,RSP01,141.9,145.9,MV
RSP,RSP01,145.9,163.9,BRECCIA
RSP,RSP09,0,54.8,SD
RSP,RSP09,54.8,89.7,SD
RSP,RSP09,89.7,96.6,SD
RSP,RSP09,96.6,122.8,RSC
RSP,RSP09,122.8,131.7,RSF/DSTRAT
RSP,RSP09,131.7,138.9,RSF/DSTRAT
RSP,RSP09,138.9,149.7,MV
RSP,RSP09,149.7,155.7,RAT
RSP,RSP10,0,3,SD
RSP,RSP10,3,14.5,RDC
RSP,RSP10,14.5,31.5,RSF/DSTRAT
RSP,RSP10,31.5,35.3,RSF/DSTRAT
RSP,RSP10,35.3,48.9,MV
RSP,RSP10,48.9,52.6,RAT
RSP,RSP10,52.6,72.2,BRECCIA
RSP,RSP10,72.2,86.5,RAT
RSP,RSP11,0,36,SD
RSP,RSP11,36,48,SD
RSP,RSP11,48,69.8,SD
RSP,RSP11,69.8,79.7,SD
RSP,RSP11,79.7,93.2,RSC
RSP,RSP11,93.2,97.3,RSF/DSTRAT
RSP,RSP11,97.3,102,RSF/DSTRAT
RSP,RSP11,102,111.8,MV
RSP,RSP11,111.8,120,RAT
RSP,RSP15,0,11.2,RSF/DSTRAT
RSP,RSP15,11.2,39.5,RSF/DSTRAT
RSP,RSP15,39.5,62.4,MV
RSP,RSP15,62.4,65.5,RAT
RSP,RSP15,65.5,76.3,RAT
RSP,RSP15,76.3,86.9,RAT
RSP,RSP15,86.9,97.9,RAT
RSP,RSP15,97.9,113.5,RAT
RSP,RSP16,0,22.5,SD
RSP,RSP16,22.5,50.5,SD
RSP,RSP16,50.5,78.8,SD
RSP,RSP16,78.8,87.6,SD
RSP,RSP16,87.6,102.7,RSC
RSP,RSP16,102.7,108.4,RSF/DSTRAT
RSP,RSP16,108.4,115.7,RSF/DSTRAT
RSP,RSP16,115.7,136.5,MV
RSP,RSP16,136.5,167,RAT
RSP,RSP16,167,171.5,RAT
RSP,RSP17,0,14.8,RSC
RSP,RSP17,14.8,33.8,SD
RSP,RSP17,33.8,53.7,SD
RSP,RSP17,53.7,62,SD
RSP,RSP17,62,79.6,SD
RSP,RSP17,79.6,107.7,RSC
RSP,RSP17,107.7,121.6,RSF/DSTRAT
RSP,RSP17,121.6,127.7,RSF/DSTRAT
RSP,RSP17,127.7,143.2,MV
RSP,RSP17,143.2,155.7,RAT
RSP,RSP18,0,35.5,SD
RSP,RSP18,35.5,46.4,SD
RSP,RSP18,46.4,56.4,SD
RSP,RSP18,56.4,87.9,SD
RSP,RSP18,87.9,114.9,SD
RSP,RSP18,114.9,121.6,SD
RSP,RSP18,121.6,132.9,SD
RSP,RSP18,132.9,158,RSC
RSP,RSP18,158,160.6,RSF/DSTRAT
RSP,RSP18,160.6,160.9,RSC
RSP,RSP18,160.9,161.3,RSF/DSTRAT
RSP,RSP18,161.3,167.6,RSC
RSP,RSP18,167.6,181.6,RSF/DSTRAT
RSP,RSP18,181.6,188.6,RSF/DSTRAT
RSP,RSP18,188.6,228.5,MV
RSP,RSP18,228.5,233.3,RAT
RSP,RSP19,0,1.3,soil
RSP,RSP19,1.3,11,LATERITE
RSP,RSP19,11,63.9,RAT
RSP,RSP19,63.9,68,BRECCIA
RSP,RSP19,68,86.2,RAT
RSP,RSP19,86.2,89,BRECCIA
RSP,RSP19,89,110,RAT
RSP,RSP19,110,116,BRECCIA
RSP,RSP19,116,119.2,RAT
RSP,RSP19,119.2,131.1,BRECCIA
RSP,RSP19,131.1,136.7,
RSP,RSP19,136.7,142.9,RAT
RSP,RSP19,142.9,149,BRECCIA
