Project,hole_id,depth,azimuth,dip
RPD,RPD125,90,0,-90
RPD,RPD127,0,0,-90
RPD,RPD129,60,0,-90
RPD,RPD129,30,0,-90
RPD,RPD129,150,0,-90
RPD,RPD129,120,0,-90
RPD,RPD129,180,0,-90
RPD,RPD130,30,0,-90
RPD,RPD130,60,0,-90
RPD,RPD130,90,0,-90
RPD,RPD130,240,0,-90
RPD,RPD130,120,0,-90
RPD,RPD130,210,0,-90
RPD,RPD130,270,0,-90
RPD,RPD130,150,0,-90
RPD,RPD130,300,0,-90
RPD,RPD130,180,0,-90
RPD,RPD146,0,0,-90
RPD,RPD149,0,0,-90
RPD,RPD19,0,0,-90
RPD,RPD20,0,0,-90
RPD,RPD22,0,0,-90
RPD,RPD29,0,0,-90
RPD,RPD32,0,0,-90
RPD,RPD34,0,0,-90
RPD,RPD35,0,0,-90
RPD,RPD36,0,0,-90
RPD,RPD38,0,0,-90
RPD,RPD40,0,0,-90
RPD,RPD41,0,0,-90
RPD,RPD43,0,0,-90
RPD,RPD44,0,0,-90
RPD,RPD45,0,0,-90
RPD,RPD46,0,0,-90
RPD,RPD46,15,0,-90
RPD,RPD46,40,0,-90
RPD,RPD46,70,0,-90
RPD,RPD47,70,0,-90
RPD,RPD47,41.5,0,-90
RPD,RPD47,10.5,0,-90
RPD,RPD48,0,0,-90
RPD,RPD49,47,0,-90
RPD,RPD49,10.5,0,-90
RPD,RPD50,40,0,-90
RPD,RPD50,81.5,0,-90
RPD,RPD51,6,0,-90
RPD,RPD51,30,0,-90
RPD,RPD51,87.5,0,-90
RPD,RPD51,60,0,-90
RPD,RPD52,10,0,-90
RPD,RPD52,50.5,0,-90
RPD,RPD53,10,0,-90
RPD,RPD53,40,0,-90
RPD,RPD53,60,0,-90
RPD,RPD55,30.5,0,-90
RPD,RPD55,6,0,-90
RPD,RPD55,70,0,-90
RPD,RPD56,10,0,-90
RPD,RPD56,50.5,0,-90
RPD,RPD58,10,0,-90
RPD,RPD58,70.5,0,-90
RPD,RPD58,0,0,-90
RPD,RPD60,0,0,-90
RPD,RPD66,0,0,-90
RPD,RPD67,240,0,-90
RPD,RPD67,70.5,0,-90
RPD,RPD67,100,0,-90
RPD,RPD67,190,0,-90
RPD,RPD67,40,0,-90
RPD,RPD67,160.5,0,-90
RPD,RPD67,130,0,-90
RPD,RPD67,10,0,-90
RPD,RPD67,200,0,-90
RPD,RPD67,270,0,-90
RPD,RPD75,0,0,-90
RPD,RPD82,210,0,-90
RPD,RPD82,60,0,-90
RPD,RPD82,180,0,-90
RPD,RPD82,0,0,-90
RPD,RPD82,30,0,-90
RPD,RPD82,90,0,-90
RPD,RPD82,150,0,-90
RPD,RPD82,120,0,-90
RPD,RPD82,240,0,-90
RPD,RPD86,30,0,-90
RPD,RPD86,6,0,-90
RPD,RPD86,0,0,-90
RPD,RPD86,150,0,-90
RPD,RPD86,90,0,-90
